 altitude/km, 5.CS2+OH->SCSOH,19.SO+O2->SO2+O,CS2->CS2E
           1   2.1405014317336359E-012   4.9295002721588632E-017   6.4063418242599353E-005
           2   2.7426530632217559E-012   4.0125819435366976E-017   6.4263385014509753E-005
           3   3.3503999646035440E-012   3.3351163622728962E-017   6.4446854988274989E-005
           4   4.1694715323443134E-012   2.6592760520988933E-017   6.4618605220186613E-005
           5   4.9691373406662851E-012   2.1686264639472027E-017   6.4788981793288247E-005
           6   6.0250265796473833E-012   1.6882922164430678E-017   6.4960383817411937E-005
           7   7.0503645731335539E-012   1.3466606720394689E-017   6.5147494463624971E-005
           8   8.4183521713304018E-012   1.0195150285979939E-017   6.5377108945903481E-005
           9   9.7771843483490855E-012   7.9239166963671749E-018   6.5661135885453274E-005
          10   1.1077114482321008E-011   6.3572491543280924E-018   6.6049721929791125E-005
          11   1.2252676576450902E-011   5.2919511366245066E-018   6.6558961965625452E-005
          12   1.2568303820753561E-011   5.0495176838603049E-018   6.7195160134803566E-005
          13   1.2893417705294149E-011   4.8161275394816469E-018   6.7929423452049270E-005
          14   1.3228448340447344E-011   4.5915309000460979E-018   6.8754856967073394E-005
          15   1.3573846963036798E-011   4.3754818540773617E-018   6.9714114018045023E-005
          16   1.3573846963036798E-011   4.3754818540773617E-018   7.0822876627430687E-005
          17   1.3573846963036798E-011   4.3754818540773617E-018   7.2084626417124792E-005
          18   1.3573846963036798E-011   4.3754818540773617E-018   7.3588841513053333E-005
          19   1.3573846963036798E-011   4.3754818540773617E-018   7.5329338585560993E-005
          20   1.3573846963036798E-011   4.3754818540773617E-018   7.7313011674750573E-005
          21   1.3228448340447344E-011   4.5915309000460979E-018   7.9499933989060401E-005
          22   1.2893417705294149E-011   4.8161275394816469E-018   8.1889075300904226E-005
          23   1.2568303820753561E-011   5.0495176838603049E-018   8.4510310702962696E-005
          24   1.2252676576450902E-011   5.2919511366245066E-018   8.7297743895060204E-005
          25   1.1946125940858390E-011   5.5436815731950382E-018   9.0205330000506909E-005
          26   1.1648260983816445E-011   5.8049665193488618E-018   9.3204112006120210E-005
          27   1.1358708964736897E-011   6.0760673279883157E-018   9.6253989857632182E-005
          28   1.1077114482321008E-011   6.3572491543280924E-018   9.9243123564087142E-005
          29   1.0803138681870631E-011   6.6487809295272632E-018   1.0216832353877584E-004
          30   1.0536458516490796E-011   6.9509353327948415E-018   1.0504119804375423E-004
          31   1.0023767858947715E-011   7.5882213028000399E-018   1.0787206381572922E-004
          32   9.5367492817599996E-012   8.2713623056606227E-018   1.1066767129491372E-004
          33   9.0733230414329192E-012   9.0026715204434474E-018   1.1338083777790789E-004
          34   8.6316067924713078E-012   9.7845189204954878E-018   1.1599222129031646E-004
          35   8.2099015700884654E-012   1.0619330046168751E-017   1.1849521690470910E-004
          36   7.8066795016910085E-012   1.1509584698001377E-017   1.2091517760164844E-004
          37   7.2335519216888412E-012   1.2954477624721019E-017   1.2324201280444318E-004
          38   6.6949786032264380E-012   1.4538592205481997E-017   1.2549910506008956E-004
          39   6.1876631844373094E-012   1.6270940203566710E-017   1.2759575271857916E-004
          40   5.8654780590027521E-012   1.7512748373717882E-017   1.2953267066382010E-004
          41   5.4046187221938892E-012   1.9512814170648396E-017   1.3130563184379516E-004
          42   4.9691373406662851E-012   2.1686264639472027E-017   1.3292419464631131E-004
          43   4.5577303880230847E-012   2.4042913378822286E-017   1.3439309168389215E-004
          44   4.2963632220520397E-012   2.5720720451428394E-017   1.3571237926834087E-004
          45   3.9231714279535911E-012   2.8405007721708200E-017   1.3686396112992243E-004
          46   3.5722000748260676E-012   3.1299535322811338E-017   1.3785490010378740E-004
          47   3.4600886077837902E-012   3.2312896004397744E-017   1.3869439477035166E-004
          48   3.3503999646035440E-012   3.3351163622728962E-017   1.3939342938081600E-004
          49   3.1382557779656065E-012   3.5503985627429767E-017   1.3995892718480908E-004
          50   3.1382557779656065E-012   3.5503985627429767E-017   1.4041985980767417E-004
          51   3.1382557779656065E-012   3.5503985627429767E-017   1.4078419338575080E-004
          52   3.4600886077837902E-012   3.2312896004397744E-017   1.4106440455021360E-004
          53   3.6867438781217424E-012   3.0310692037263078E-017   1.4128042355718328E-004
          54   3.9231714279535911E-012   2.8405007721708200E-017   1.4145832800875575E-004
          55   4.2963632220520397E-012   2.5720720451428394E-017   1.4160128366040898E-004
          56   4.5577303880230847E-012   2.4042913378822286E-017   1.4171698597319782E-004
          57   4.9691373406662851E-012   2.1686264639472027E-017   1.4180993706336851E-004
          58   5.2567114807218157E-012   2.0217552069676621E-017   1.4188766317739591E-004
          59   5.5553420001587993E-012   1.8827339582919185E-017   1.4195464542204555E-004
          60   6.3534720517966334E-012   1.5676454345806301E-017   1.4201195510103046E-004

