 #layer COS S2 O3 O2 NO2 NO HSO HO2 HSO2 HSO3 CS2 CH4O3S CO H O N S SO2 SO4 CS N2 CO2 SCSOH OH H2 H2SO4 SO3 H2S H2O SH SO CS2E CH3SCH3
   11  0.16773494E+010  0.47969075E+004  0.19600000E+013  0.10400000E+019  0.45800000E+009  0.00000000E+000  0.10778670E-002  0.46600000E+008  0.24966549E-006  0.15383881E-002  0.81152956E+004  0.17749213E+012  0.10000000E+013  0.00000000E+000  0.27100000E+005  0.00000000E+000  0.91225142E-009  0.64192915E+009  0.20128762E+009  0.15118421E-002  0.47500000E+019  0.15400000E+016  0.26839010E-008  0.78600000E+006  0.00000000E+000  0.21474088E+009  0.40398927E+004  0.35787972E+006  0.96400000E+014  0.32315174E-001  0.12413103E-001  0.36983612E-008  0.18437329E+005
   12  0.14466970E+010  0.25200452E+004  0.22100000E+013  0.87900000E+018  0.61000000E+009  0.00000000E+000  0.58064621E-003  0.43900000E+008  0.36836234E-007  0.95206478E-003  0.98657381E+003  0.15229260E+012  0.90000000E+012  0.00000000E+000  0.41700000E+005  0.00000000E+000  0.86216588E-009  0.34637900E+009  0.31135807E+009  0.22226711E-003  0.41500000E+019  0.13100000E+016  0.39598788E-009  0.78600000E+006  0.00000000E+000  0.13102700E+009  0.39674305E+004  0.94416282E+005  0.51000000E+014  0.19221908E-001  0.15386830E-001  0.52271743E-009  0.17414552E+004
   13  0.12371638E+010  0.88635205E+003  0.24200000E+013  0.74400000E+018  0.85800000E+009  0.00000000E+000  0.38248200E-003  0.42600000E+008  0.31004698E-008  0.46221240E-003  0.71419686E+002  0.12916884E+012  0.80000000E+012  0.00000000E+000  0.62600000E+005  0.00000000E+000  0.53630587E-009  0.15339072E+009  0.52792819E+009  0.19778922E-004  0.36200000E+019  0.11100000E+016  0.33329314E-010  0.75400000E+006  0.00000000E+000  0.41934830E+003  0.30030730E+004  0.16783619E+005  0.27500000E+014  0.13744485E-001  0.21240826E-001  0.44092503E-010  0.89535222E+002
   14  0.10465502E+010  0.18836264E+003  0.27300000E+013  0.62800000E+018  0.10900000E+010  0.00000000E+000  0.30924637E-003  0.42600000E+008  0.17644047E-009  0.18528953E-003  0.36428545E+001  0.10814626E+012  0.66000000E+012  0.00000000E+000  0.97200000E+005  0.00000000E+000  0.20958255E-009  0.58588273E+008  0.52458549E+009  0.12786119E-005  0.31600000E+019  0.94100000E+015  0.18964402E-011  0.69200000E+006  0.00000000E+000  0.34230856E+003  0.11517453E+004  0.22640183E+004  0.24100000E+014  0.11669283E-001  0.31574091E-001  0.26230710E-011  0.28158580E+001
   15  0.87498858E+009  0.24867789E+002  0.30500000E+013  0.52900000E+018  0.13400000E+010  0.00000000E+000  0.27548335E-003  0.45200000E+008  0.84733548E-011  0.71453651E-004  0.15295606E+000  0.89565165E+011  0.50300000E+012  0.00000000E+000  0.15000000E+006  0.00000000E+000  0.51226537E-010  0.21065679E+008  0.47131302E+009  0.70365664E-007  0.27600000E+019  0.79600000E+015  0.90970509E-013  0.64900000E+006  0.00000000E+000  0.44374727E+003  0.42851885E+003  0.26423372E+003  0.20900000E+014  0.10585232E-001  0.47259142E-001  0.12864855E-012  0.60516501E-001
   16  0.72358961E+009  0.20954196E+001  0.33400000E+013  0.45200000E+018  0.16500000E+010  0.00000000E+000  0.26301388E-003  0.48000000E+008  0.36470373E-012  0.28037629E-004  0.56175944E-002  0.73645687E+011  0.34800000E+012  0.00000000E+000  0.22800000E+006  0.00000000E+000  0.12380080E-010  0.75399660E+007  0.40717464E+009  0.35036928E-008  0.24100000E+019  0.68000000E+015  0.38680483E-014  0.64200000E+006  0.00000000E+000  0.59760440E+003  0.16503565E+003  0.27621486E+002  0.18200000E+014  0.10177661E-001  0.68462282E-001  0.55169409E-014  0.91312963E-003
   17  0.59227183E+009  0.11348081E+000  0.38100000E+013  0.38600000E+018  0.18800000E+010  0.00000000E+000  0.26037102E-003  0.52500000E+008  0.17005460E-013  0.12676292E-004  0.18757006E-003  0.60341869E+011  0.22000000E+012  0.00000000E+000  0.36200000E+006  0.00000000E+000  0.32515355E-010  0.29846769E+007  0.34340366E+009  0.16923803E-009  0.21100000E+019  0.58000000E+015  0.15618332E-015  0.66300000E+006  0.00000000E+000  0.80539233E+003  0.73431581E+002  0.26897134E+001  0.15800000E+014  0.95433383E-002  0.10249939E+000  0.21501877E-015  0.96698660E-005
   18  0.47740797E+009  0.41622968E-002  0.41900000E+013  0.33000000E+018  0.20300000E+010  0.00000000E+000  0.27046604E-003  0.54100000E+008  0.20502344E-014  0.76715792E-005  0.56283565E-005  0.49138761E+011  0.16600000E+012  0.00000000E+000  0.55800000E+006  0.00000000E+000  0.16930594E-009  0.14884167E+007  0.28645292E+009  0.76213101E-011  0.18400000E+019  0.49600000E+015  0.60358082E-017  0.73000000E+006  0.00000000E+000  0.11307207E+004  0.40854247E+002  0.24269033E+000  0.14700000E+014  0.91491424E-002  0.14675525E+000  0.75771184E-017  0.73321734E-007
   19  0.38141923E+009  0.10819398E-003  0.45100000E+013  0.28100000E+018  0.22000000E+010  0.00000000E+000  0.28562414E-003  0.57400000E+008  0.12960885E-014  0.65522303E-005  0.15521014E-006  0.40102875E+011  0.11500000E+012  0.00000000E+000  0.85200000E+006  0.00000000E+000  0.75425207E-009  0.10235383E+007  0.24055911E+009  0.32812949E-012  0.16100000E+019  0.42400000E+015  0.21983754E-018  0.82100000E+006  0.00000000E+000  0.15605246E+004  0.29728162E+002  0.20782265E-001  0.14700000E+014  0.86964840E-002  0.20709348E+000  0.24549230E-018  0.41122934E-009
   20  0.30228530E+009  0.21249752E-005  0.46700000E+013  0.24000000E+018  0.23200000E+010  0.00000000E+000  0.31464956E-003  0.59200000E+008  0.13298992E-014  0.73721154E-005  0.39035144E-008  0.32858062E+011  0.89800000E+011  0.00000000E+000  0.12600000E+007  0.00000000E+000  0.28511711E-008  0.88319568E+006  0.20238386E+009  0.13015416E-013  0.14100000E+019  0.36200000E+015  0.76797735E-020  0.97400000E+006  0.00000000E+000  0.22105049E+004  0.28196350E+002  0.16801617E-002  0.14900000E+014  0.86271586E-002  0.28092566E+000  0.72633562E-020  0.17876627E-011
